attendance,study_hours,assignment_score,previous_score,absences,participation,passed
76,2.8,58.7,63.8,9,41,0
60,7.6,55.4,83.8,4,81,1
86,2.2,45.2,89.6,20,78,0
76,1.3,44.6,65.3,6,99,0
70,4,95.8,93.7,10,32,1
65,7.9,63.5,71.1,8,53,1
80,7.2,59.9,89.5,4,94,1
85,6.2,82.4,53.8,8,61,0
98,7.2,70.9,64.9,3,96,1
75,7.3,95.8,67.2,0,21,0
62,4.6,85.7,37.3,6,22,0
93,3.2,66.2,57.9,2,84,1
83,6.4,59.5,94.2,8,49,1
87,5.6,99.1,74.2,18,62,1
59,3.6,81.7,42.4,3,54,0
69,1.7,96.8,53.7,0,53,1
90,6.2,42.7,43.4,2,96,1
93,2.8,90.3,31.7,10,27,1
75,7.6,76.4,94.9,5,82,1
92,2.7,42.9,61.4,10,92,0
93,1.9,73.2,51.5,0,73,1
72,6.8,79.6,71.9,6,51,1
96,2.1,35.8,30.5,8,32,0
68,2.3,64.5,49.5,9,75,0
66,5.2,88.7,79.2,11,57,1
86,7.1,54.2,74.4,16,32,0
84,2.4,64.8,98.7,9,49,0
61,3.2,63.8,73.4,17,97,0
93,6.4,54.6,63.4,11,41,1
64,7.8,94.7,83.3,5,34,1
92,4.5,85.8,93.2,4,75,1
55,2,42.2,80.4,6,36,0
91,1.1,99.8,97.4,12,94,1
91,2.6,92.1,84.7,5,89,1
90,1.9,53.5,90.7,19,99,0
85,5.7,89.4,38,10,93,1
76,1.9,41.9,81.3,18,39,0
87,4.5,99.9,60.8,14,37,1
67,5.9,78.3,68.7,7,47,0
90,5.1,77.3,75.8,4,58,1
80,2.4,40.9,97.9,15,91,0
76,6.6,93.3,98.9,6,79,1
78,6,36.9,50.2,5,72,1
81,6.2,50.7,81.4,19,91,1
56,1.9,44.3,82.5,10,72,0
61,1.9,85.5,54.3,1,50,0
66,7.5,47.9,38.7,10,53,0
60,3.8,94.2,32.9,9,61,0
75,3.1,77.7,84.4,18,27,0
85,4.4,37.4,64.3,14,80,0
85,5.6,35.4,99,4,72,1
76,7.7,38.4,62.5,3,79,1
94,3,74.4,98.5,12,63,1
81,7.5,87.1,58.8,0,83,1
58,1.2,50.5,85.6,6,96,0
90,4.9,90.2,35.9,2,66,1
81,5.4,38.7,68.9,0,55,1
84,1.7,87.1,86.1,19,28,0
81,2,95.3,94.7,1,83,1
80,3.9,85.2,87.6,0,93,1
59,7.8,80.4,32.6,19,76,0
80,5.2,89.5,56.1,3,90,1
91,7.5,37.6,33.4,17,89,0
68,6.6,48.1,37.6,0,84,1
82,4.3,43.1,77.3,3,60,1
56,6.5,67.8,79.9,2,28,1
70,1.1,83.4,84.2,14,20,0
75,1.8,76,90.6,13,36,0
100,6.8,90.3,81.8,9,54,1
64,6.6,45.1,86.1,5,80,1
67,2.6,82.8,33.4,1,56,0
73,4.7,47.5,46.4,11,21,0
100,5.2,52.6,73.5,4,37,1
94,7.1,81.1,90.1,12,99,1
56,5.2,98.7,30.3,14,100,0
65,3.9,74.8,66,17,50,0
92,3.6,38.5,77.4,10,85,0
57,4,75.1,32.1,0,78,0
94,5.6,37.8,58.1,5,95,1
67,7.1,92.5,92.7,17,91,1
97,4.2,81.1,77,11,70,1
68,2.7,46.3,46.6,13,51,0
74,2.7,41,89.7,9,70,0
85,6.2,46.9,54.4,3,45,1
60,6.7,98.7,89.7,18,48,0
80,1.7,64.8,50.9,16,69,0
78,1.5,86,71.3,20,66,0
91,5.2,76.4,57.8,17,67,1
100,2,72.2,49.2,6,51,0
85,6.8,44.4,92.1,5,53,1
73,3.2,96.5,43.1,5,20,1
73,2,54.6,35.9,19,68,0
74,7.4,72.6,53.9,11,66,1
92,2.2,80.5,80.2,9,95,1
69,3,77.2,86.5,20,60,0
62,2.1,96.1,99.9,12,57,0
70,1.8,44.6,50.7,19,25,0
56,1.1,68,58.6,20,35,0
59,1.4,61.3,39.6,1,47,0
59,2.2,65.8,70.2,7,50,0
90,1.4,42.7,99.8,15,49,0
88,5.1,43.7,79.1,17,51,0
87,5.8,53.1,71.7,3,82,1
76,3.8,54.8,57.5,6,30,0
87,3.2,62.8,94.1,11,46,0
62,4.5,74.7,64.8,16,33,0
96,7.1,76.3,39.4,2,44,1
78,7,61.8,55.6,12,75,1
98,1.3,61.6,34.7,6,23,0
62,2.3,49.1,44.1,4,47,0
77,2.7,73.2,31.2,10,21,0
87,2.7,55.6,61.7,8,97,0
77,5,37.3,74.4,13,78,0
75,3.9,62.2,54,6,39,1
62,1.3,65.8,59.4,17,36,0
72,3.6,49.7,97.1,1,28,1
65,4.7,72.2,82.6,18,58,0
68,1.7,71.8,67.9,0,81,0
86,6.8,80.6,49.9,15,67,1
83,1.4,77.1,92.8,7,91,1
82,7.5,77.4,46.5,8,47,1
71,1.7,55.6,52.8,0,42,0
99,6.9,86.2,93.6,14,58,1
59,7.3,70.7,67.1,3,36,1
70,7.9,63,82,13,99,1
60,6.6,75.7,71.4,15,35,0
70,6.5,58.4,75.7,17,58,0
99,5.5,68.3,51,14,62,1
